ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (February 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2025-02-01,01,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
,02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,03,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,3,3,3
,07,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3
,08,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3
,09,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3
,10,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,16,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3
,17,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3
,18,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3
,19,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,24,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
,Daily Max,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3
2025-02-02,01,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
,02,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3
,03,3,3,3,3,3,2,3,2,2,3,2,3,2,3,2,3,3,3
,04,3,3,3,3,3,2,3,2,2,3,2,3,2,3,2,3,3,3
,05,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,3
,06,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3*
,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3*
,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
